time,Gli2,Hif1a,Rel,Aanat,Clock,Per1,Per2,Tef-1,Fos,Nfkb1,Arid3A,Atf1,Bach1,E2F6,Egr1,Stat3,Hdac1,Mafk,Mxi1,Phf8,Polr2A,Rcor1,Srebf1,Zmiz1
55,3.574753111,116.0975717,2.18484855,25.30016932,17.0071743,8.724430622,2.1861854,20.49029767,16.94243913,18.98657213,4.175957116,21.05543703,1.691139333,20.20676463,5.132165752,37.50354935,52.42821279,5.257837877,25.24402014,17.50193628,36.11093506,13.49913906,36.85745335,32.72428657
56,4.36076407,122.5282475,1.903223132,115.7257737,20.16748368,7.16431034,2.373223841,27.93242949,12.05268184,22.67167924,3.309772955,20.69069128,2.197086788,22.64680285,8.689831708,42.67375654,53.35179471,6.698258096,24.18257678,16.79924019,41.34626255,13.56341751,35.99530648,52.82681511
57,4.728774385,136.2498036,1.520372613,73.47887777,19.25364107,6.826469277,2.405569671,25.55014845,21.55695089,19.39595894,3.869982312,23.50920991,2.0237905,19.98806788,8.408194866,41.3776205,50.10421984,5.518176591,29.61784937,18.71606842,48.99419423,16.27021091,42.42302387,51.64616808
58,1.814086083,115.7363872,1.030193756,37.69283288,10.3829837,5.208979197,1.103588158,19.79813146,17.86339117,16.61820311,2.534650947,26.36435963,0.471957872,21.87478559,6.136400125,26.68453095,62.59580271,4.481050724,29.48291438,7.888454319,14.57932988,13.1949052,27.88956332,18.17785102
59,5.444111584,131.6829549,1.725927251,83.40506327,21.76944542,5.645594891,1.894427116,28.75813933,17.26957241,22.13906495,3.947028382,21.53183085,2.54150685,20.93618541,8.077271082,40.64481258,53.16841923,4.819005792,30.8406921,19.11745472,48.60216,16.94982755,48.31200692,62.13302489
60,2.984314666,91.42294783,1.283343274,168.1468021,12.85291037,8.351355134,1.392627077,19.23396475,24.65933199,19.54981517,4.028571669,24.31359578,1.188271823,24.28750909,4.222396925,36.81865693,63.61995799,5.42603447,27.21461169,12.64344285,25.01199888,12.76904838,39.15847695,26.51980317
61,2.670249079,115.3718259,2.552920821,91.80351862,19.53988113,6.28855174,2.716195246,16.67780949,14.03804254,22.09632118,2.783708638,22.7476034,1.989043769,26.00590144,6.874592808,43.65371608,49.99333857,7.430104958,39.92833198,13.81368797,42.25073504,15.8328942,45.46082195,37.79865043
62,0.969071956,42.47377721,0.665389592,91.03301085,5.894681885,5.41575433,0.513987613,17.71533286,6.388290437,10.05313142,1.725091395,14.80953319,0.155526448,14.43492896,4.855734453,19.70751907,54.96676068,4.177058184,18.46583569,4.136974708,15.82066518,10.38502002,23.06541032,15.38549107
63,5.676790707,121.3631489,2.675357659,86.78398833,20.97649721,4.755018667,1.702336528,23.13900086,17.95903945,21.37091899,3.614462381,19.30859339,2.108024392,20.97375523,11.3069513,38.9774731,51.24108531,4.829139024,28.19284674,20.95191618,51.96452173,13.73337314,44.42319238,52.35667262
64,5.015161902,109.5460756,2.515200719,54.67252089,19.85811871,4.743588866,2.001548281,25.14613801,19.73199046,24.41293114,3.860033473,21.06488753,2.1693382,25.16616102,4.592106762,37.78862683,55.1504683,5.337958253,29.94274373,17.53870089,44.12449109,14.27163782,44.4401818,50.54908399
65,3.946855001,103.9973154,1.631643544,37.83490147,12.51756773,8.701830252,1.68546267,21.29759273,25.49045138,20.86074841,4.218138768,21.19489417,1.361512874,24.3037469,7.058552527,32.88795337,54.81469957,5.650452534,21.98357212,13.24785026,27.41879007,16.15384064,42.50615383,27.62234742
66,4.559360079,129.4603381,1.695705279,20.08424799,18.44569869,9.013157651,1.456748996,29.11735887,15.96945169,18.83549319,3.534602247,22.85650756,1.976794528,21.67934427,7.006604471,37.41118441,53.51882847,4.461607782,25.14594984,16.41652889,39.03531568,15.39794998,35.42185297,35.12728207
67,4.631092116,148.6799156,2.372251367,33.52729572,21.55910625,8.362334721,1.019593028,28.54179904,17.87883995,21.9532018,3.799261615,21.36166691,1.263515482,21.75463719,3.995947853,37.26450847,54.18059401,5.133978263,23.80526543,16.95767156,46.37014163,17.04787194,36.68195177,44.15814635
68,3.435923288,140.4929837,1.431256334,66.31293299,19.83079758,7.981063079,1.688148806,24.97954574,28.15279385,20.82521037,3.150646294,27.05344364,1.730623046,24.42217653,3.296696483,35.69437313,51.49031933,4.835612598,26.02830398,14.79869918,32.47875241,18.36396761,29.82839423,30.13005335
69,4.268686363,118.6484509,2.761076821,16.42676503,18.35952492,7.812281469,1.764455756,26.67807491,17.13540708,21.92075526,4.556674973,20.54122542,2.055245605,21.03464798,4.890022828,32.86790649,51.27306523,5.279077475,23.18807695,17.86833618,42.95862079,15.1222336,36.88473256,31.03003777
70,1.777915054,73.39949507,1.060965437,38.83032449,8.411450328,6.217369498,0.465152603,25.01748938,6.803438835,13.88981932,2.189852836,23.25854603,0.211124345,17.19829877,3.551178934,20.32234884,69.66721049,4.816380879,22.53449241,5.694193005,10.37376587,15.48950816,24.87933077,19.62679291
71,1.311406174,42.71811897,0.771810019,52.50682626,6.083497414,5.067141076,0.577445043,24.45960235,7.912658269,9.645517919,1.666005639,19.15731608,0.04910913,15.21969742,3.249164009,20.71620051,55.97073247,4.208399094,19.18405207,4.165616951,12.9948613,10.47083794,24.22582386,20.82729564
72,4.838426765,137.7676203,2.352812628,30.62689345,20.50509666,10.82857132,1.576120929,30.50139375,9.543730147,21.86931403,4.655458949,19.53681245,1.917527888,22.08824517,8.20896028,35.75626748,50.58514021,5.852282592,22.59099747,15.42399389,46.53931494,20.45354871,40.53658279,38.83823272
73,1.225005355,117.1347622,0.715953341,14.35057331,8.745135569,5.862270083,1.205223202,32.17325167,11.68653374,16.09954811,2.173372939,25.05549334,0.270326681,24.50085421,3.581526238,22.72987683,70.10301118,3.943417284,34.36278799,7.243290775,11.90804388,16.68952711,15.17695663,15.36732768
